"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","参数边界测试","5","0","参数边界值测试 - temperature","0"
"0","","0","接口性能测试","3","0","响应超时测试","0"
"0","","0","异常场景测试","3","0","缺失必填参数","0"
"0","","0","参数边界测试","1","0","stop 停止词参数","0"
"0","","0","Web端UI测试(自有模型)","1","0","多轮对话历史展示","0"
"0","","0","异常场景测试","1","0","无效API Key","0"
"0","","0","参数边界测试","4","0","参数边界值测试 - max_tokens","0"
"0","","0","参数边界测试","5","0","参数边界值测试 - top_p","0"
"0","","0","参数边界测试","1","0","流式输出 + max_tokens 参数校验","0"
"0","","0","Web端UI测试(自有模型)","1","0","流式输出前端展示","0"
"0","","0","Web端UI测试(自有模型)","1","0","异常场景前端提示","0"
"0","","0","已知限制和边界场景","1","0","函数调用功能支持","0"
"0","","0","核心聊天接口","1","0","多轮对话上下文","0"
"0","","0","核心聊天接口","1","0","正常单轮对话","0"
"0","","0","核心聊天接口","1","0","流式输出测试","0"
"0","","0","已知限制和边界场景","1","0","超过模型上下文窗口","0"
"0","","0","模型管理接口","1","0","获取可用模型列表","0"
"0","","0","异常场景测试","1","0","不存在的模型","0"
"0","","0","核心聊天接口","3","0","多输入场景关键词校验","0"
"0","","0","已知限制和边界场景","0","1","超长文本生成超时","0"
"0","","0","异常场景测试","1","0","无效的角色","0"
"0","","0","接口性能测试","1","0","多用户并发请求","0"
