"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5855","test_temperature_boundary[0.0-True-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"测试接口超时","42134","test_chat_timeout[\u4ec0\u4e48\u662f\u8f6f\u4ef6\u6d4b\u8bd5-30-\u4e2d\u7b49\u590d\u6742\u5ea6\u8bf7\u6c42-\u8d85\u65f6\u6d4b\u8bd5]","test_cases.api","2026-06-07","passed","2026-06-07","","test_performance","",""
"","1157","test_temperature_boundary[2.1-False-400]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","407","test_missing_required_params[messages]","test_cases.api","2026-06-07","passed","2026-06-07","","test_exception","",""
"","8589","test_stop_parameter","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","69418","test_ui_chat_history_display","test_cases.ui","2026-06-07","passed","2026-06-07","","test_ui_multi_turn","",""
"","449","test_chat_invalid_api_key","test_cases.api","2026-06-07","passed","2026-06-07","","test_exception","",""
"","10085","test_max_tokens_boundary[100-normal-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","6731","test_top_p_boundary[0.5-False-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","22179","test_max_tokens_with_stream","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","58372","test_ui_stream_rendering","test_cases.ui","2026-06-07","passed","2026-06-07","","test_ui_stream","",""
"","32958","test_ui_error_prompt","test_cases.ui","2026-06-07","passed","2026-06-07","","test_ui_error","",""
"测试接口超时","5650","test_chat_timeout[\u4f60\u597d-10-\u7b80\u5355\u95ee\u5019\u8bf7\u6c42\u2014\u8d85\u65f6\u6d4b\u8bd5]","test_cases.api","2026-06-07","passed","2026-06-07","","test_performance","",""
"","4226","test_function_call","test_cases.api","2026-06-07","passed","2026-06-07","","test_known_issues","",""
"","15409","test_chat_multi_turn","test_cases.api","2026-06-07","passed","2026-06-07","","test_multi_turn","",""
"","13472","test_top_p_boundary[0.0-True-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","5744","test_temperature_boundary[2.0-False-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","6363","test_chat_normal","test_cases.api","2026-06-07","passed","2026-06-07","","test_chat_api","",""
"","570","test_max_tokens_boundary[-100-invalid_low-400]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"测试基础流式输出功能","11992","test_chat_stream","test_cases.api","2026-06-07","passed","2026-06-07","","test_chat_api","",""
"测试超过模型上下文窗口的输入","11769","test_context_window_limit","test_cases.api","2026-06-07","passed","2026-06-07","","test_known_issues","",""
"测试接口超时","19993","test_chat_timeout[\u5199\u4e00\u7bc7200\u5b57\u7684\u8f6f\u4ef6\u6d4b\u8bd5\u9762\u8bd5\u7ecf\u9a8c-60-\u590d\u6742\u6587\u672c\u751f\u6210\u8bf7\u6c42-\u8d85\u65f6\u6d4b\u8bd5]","test_cases.api","2026-06-07","passed","2026-06-07","","test_performance","",""
"","5827","test_temperature_boundary[1.0-False-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","470","test_missing_required_params[messages[0].content]","test_cases.api","2026-06-07","passed","2026-06-07","","test_exception","",""
"","12157","test_max_tokens_boundary[2048-max-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","717","test_list_models","test_cases.api","2026-06-07","passed","2026-06-07","","test_chat_api","",""
"","446","test_chat_invalid_model","test_cases.api","2026-06-07","passed","2026-06-07","","test_exception","",""
"","13180","test_chat_multiple_inputs[1+1\u7b49\u4e8e\u51e0-2]","test_cases.api","2026-06-07","passed","2026-06-07","","test_chat_api","",""
"","8627","test_max_tokens_boundary[10000-invalid_high-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"测试生成超长文本的超时情况","160113","test_long_generation_timeout","test_cases.api","2026-06-07","skipped","2026-06-07","","test_known_issues","",""
"","396","test_invalid_role","test_cases.api","2026-06-07","passed","2026-06-07","","test_exception","",""
"","1395","test_top_p_boundary[1.1-False-400]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","956","test_temperature_boundary[-0.1-False-400]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","36687","test_chat_multiple_inputs[Python\u662f\u4ec0\u4e48-Python]","test_cases.api","2026-06-07","passed","2026-06-07","","test_chat_api","",""
"","9234","test_top_p_boundary[1.0-False-200]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"","1199","test_top_p_boundary[-0.1-False-400]","test_cases.api","2026-06-07","passed","2026-06-07","","test_boundary","",""
"测试10个并发请求","6280","test_concurrent_requests","test_cases.api","2026-06-07","passed","2026-06-07","","test_performance","",""
"","459","test_missing_required_params[model]","test_cases.api","2026-06-07","passed","2026-06-07","","test_exception","",""
"","15783","test_chat_multiple_inputs[\u5317\u4eac\u7684\u5929\u6c14\u600e\u4e48\u6837-\u5317\u4eac]","test_cases.api","2026-06-07","passed","2026-06-07","","test_chat_api","",""
